0, Program_c, 0
0, Control_c, 7, 127
107, Control_c, 64, 0
107, Control_c, 64, 0
135, Note_on_c, 66, 63
166, Control_c, 64, 127
166, Control_c, 64, 127
355, Note_on_c, 37, 61
371, Control_c, 64, 0
371, Control_c, 64, 0
403, Control_c, 64, 127
403, Control_c, 64, 127
501, Note_on_c, 68, 52
519, Note_off_c, 66, 64
536, Note_on_c, 66, 62
557, Note_off_c, 68, 64
564, Note_on_c, 49, 55
566, Note_off_c, 37, 64
576, Note_on_c, 65, 63
589, Note_on_c, 59, 42
591, Note_off_c, 66, 64
597, Control_c, 64, 0
597, Control_c, 64, 0
618, Control_c, 64, 127
618, Control_c, 64, 127
648, Note_off_c, 49, 64
658, Note_off_c, 59, 64
672, Note_off_c, 65, 64
672, Note_on_c, 66, 70
771, Control_c, 64, 0
771, Control_c, 64, 0
776, Note_on_c, 68, 55
778, Note_on_c, 49, 53
786, Note_on_c, 59, 48
789, Note_off_c, 66, 64
789, Note_on_c, 53, 53
805, Control_c, 64, 127
805, Control_c, 64, 127
817, Note_off_c, 53, 64
817, Note_off_c, 59, 64
831, Note_off_c, 49, 64
917, Note_on_c, 62, 58
936, Note_off_c, 68, 64
975, Note_on_c, 61, 66
975, Control_c, 64, 0
975, Control_c, 64, 0
982, Note_on_c, 42, 50
999, Note_off_c, 62, 64
1031, Control_c, 64, 127
1031, Control_c, 64, 127
1128, Note_on_c, 66, 55
1148, Note_off_c, 61, 64
1164, Note_on_c, 61, 55
1165, Note_on_c, 69, 66
1171, Note_on_c, 54, 57
1175, Control_c, 64, 0
1175, Control_c, 64, 0
1193, Note_off_c, 42, 64
1205, Note_off_c, 66, 64
1208, Note_off_c, 61, 64
1215, Note_off_c, 54, 64
1233, Control_c, 64, 127
1233, Control_c, 64, 127
1264, Control_c, 64, 127
1264, Control_c, 64, 127
1364, Note_off_c, 69, 64
1369, Control_c, 64, 0
1369, Control_c, 64, 0
1384, Note_on_c, 66, 61
1384, Note_on_c, 54, 53
1387, Note_on_c, 69, 61
1387, Note_on_c, 61, 23
1425, Note_off_c, 54, 64
1428, Note_off_c, 61, 64
1433, Control_c, 64, 127
1433, Control_c, 64, 127
1606, Note_on_c, 40, 58
1606, Control_c, 64, 0
1606, Control_c, 64, 0
1633, Control_c, 64, 127
1633, Control_c, 64, 127
1725, Note_on_c, 71, 55
1741, Note_off_c, 69, 64
1755, Note_off_c, 66, 64
1767, Note_on_c, 69, 55
1786, Note_off_c, 71, 64
1800, Note_on_c, 68, 61
1800, Note_on_c, 64, 50
1800, Note_on_c, 52, 48
1807, Note_on_c, 62, 52
1817, Note_off_c, 40, 64
1818, Note_off_c, 69, 64
1819, Control_c, 64, 0
1819, Control_c, 64, 0
1852, Note_off_c, 52, 64
1857, Note_off_c, 62, 64
1858, Control_c, 64, 127
1858, Control_c, 64, 127
1904, Note_on_c, 69, 58
1917, Note_off_c, 64, 64
1927, Note_off_c, 68, 64
1994, Note_on_c, 62, 61
1998, Control_c, 64, 0
1998, Control_c, 64, 0
2004, Note_on_c, 71, 61
2004, Note_on_c, 52, 58
2009, Note_on_c, 59, 55
2020, Note_off_c, 69, 64
2032, Control_c, 64, 127
2032, Control_c, 64, 127
2042, Note_off_c, 59, 64
2055, Note_off_c, 52, 64
2148, Note_on_c, 66, 44
2156, Note_off_c, 71, 64
2192, Note_on_c, 45, 61
2195, Note_on_c, 64, 53
2203, Control_c, 64, 0
2203, Control_c, 64, 0
2228, Note_off_c, 66, 64
2251, Control_c, 64, 127
2251, Control_c, 64, 127
2351, Note_on_c, 69, 37
2370, Note_off_c, 64, 64
2375, Note_off_c, 62, 64
2389, Note_on_c, 73, 74
2392, Note_on_c, 61, 37
2392, Note_on_c, 57, 58
2392, Control_c, 64, 0
2392, Control_c, 64, 0
2411, Note_off_c, 69, 64
2419, Note_off_c, 45, 64
2421, Control_c, 64, 127
2421, Control_c, 64, 127
2436, Note_off_c, 57, 64
2436, Note_off_c, 61, 64
2576, Note_off_c, 73, 64
