 C, 54, 40
576384, C, 56, 18
747579, C, 61, 15
783686, F, 66, 64
783963, C, 60, 23
783956, C, 59, 42
783961, E, 64, 0
783961, E, 64, 0
783980, E, 64, 127
783981, E, 64, 0
783991, E, 64, 127
783991, C, 65, 35
784050, F, 68, 64
784076, C, 70, 57
784083, C, 67, 54
784106, F, 53, 64
784122, F, 60, 64
784133, F, 65, 64
784165, E, 64, 0
784166, E, 64, 0
784187, E, 64, 127
784187, E, 64, 127
784226, C, 72, 36
784231, F, 70, 64
784241, F, 69, 64
784255, C, 69, 63
784264, C, 71, 52
784262, F, 69, 64
782632, E, 64, 127
782632, E, 64, 127
782752, F, 59, 64
782756, F, 60, 64
782802, C, 66, 24
782816, F, 69, 64
782830, F, 57, 64
782962, C, 69, 36
782962, C, 57, 33
782962, C, 55, 29
782965, C, 60, 28
782970, C, 55, 20
782978, F, 68, 64
783094, C, 56, 18
783120, F, 55, 64
783134, C, 55, 16
783136, C, 55, 16
783136, C, 58, 22
783143, E, 64, 0
783144, E, 64, 0
783144, E, 64, 127
783146, F, 79, 64
783272, C, 68, 46
783269, F, 79, 64
783268, F, 56, 64
783269, F, 60, 64
783277, F, 55, 64
783273, F, 71, 64
783275, F, 61, 64
783565, C, 65, 48
783571, C, 64, 30
783599, F, 69, 64
783599, F, 65, 64
783617, C, 56, 24
783617, C, 78, 50
783620, F, 64, 64
783620, F, 63, 64
783623, F, 73, 64
783630, F, 63, 64
783726, F, 63, 64
783734, C, 57, 28
783734, C, 60, 16
787347, C, 58, 24
787347, C, 56, 23
787355, C, 58, 28
787365, C, 55, 24
787393, F, 66, 64
787393, F, 76, 64
787426, E, 64, 127
787441, E, 64, 127
787505, F, 50, 64
787507, F, 65, 64
787512, F, 67, 64
787581, C, 51, 24
787578, C, 62, 22
787610, F, 65, 64
787615, C, 70, 57
787715, F, 69, 64
787726, F, 80, 64
787749, E, 64, 127
787755, E, 64, 127
787770, F, 54, 64
787704, F, 65, 64
787738, C, 64, 32
787749, E, 64, 0
787749, E, 64, 0
787749, F, 58, 64
