, E, 64, 127
2425414, F, 42, 64
242568, C, 67, 58
242571, E, 64, 0
242575, F, 62, 64
242582, F, 59, 64
242597, F, 48, 64
242609, E, 64, 127
242774, F, 73, 64
242817, C, 69, 41
242832, F, 43, 64
242835, C, 62, 52
242845, C, 55, 57
242846, C, 55, 59
242989, E, 64, 0
243033, E, 64, 127
243042, C, 71, 41
243043, C, 62, 39
243045, F, 74, 64
243056, E, 64, 127
243169, F, 70, 64
243221, E, 64, 0
243262, E, 64, 127
243339, C, 62, 52
243343, C, 55, 44
243344, C, 43, 58
243346, C, 59, 52
243364, E, 64, 127
243373, F, 44, 64
243398, F, 72, 64
243433, F, 58, 64
243439, F, 63, 64
243445, F, 75, 64
243447, C, 72, 54
243457, F, 74, 64
243573, F, 76, 64
243638, C, 73, 42
243641, C, 62, 14
243654, E, 64, 0
243681, E, 64, 127
243689, C, 48, 32
243742, F, 72, 64
243755, C, 73, 55
243765, E, 64, 127
243779, F, 71, 64
243779, F, 52, 64
243780, F, 64, 64
243805, F, 62, 64
243841, C, 70, 55
243869, E, 64, 127
243927, E, 64, 127
243975, C, 71, 72
243984, F, 62, 64
243986, F, 60, 64
244009, F, 57, 64
244026, F, 60, 64
244029, C, 74, 41
244043, C, 55, 41
244048, C, 53, 58
244049, C, 68, 55
244132, F, 70, 64
244134, E, 64, 0
244136, F, 69, 64
244157, E, 64, 127
244200, E, 64, 127
244206, F, 56, 64
244272, F, 65, 64
244301, C, 70, 57
244311, C, 54, 40
244318, C, 59, 45
244339, E, 64, 0
244347, F, 75, 64
244347, E, 64, 0
244353, E, 64, 127
244372, F, 48, 64
244666, F, 77, 64
244695, F, 53, 64
244705, C, 56, 37
244711, C, 45, 44
244719, C, 65, 52
244721, E, 64, 0
244778, E, 64, 127
244774, E, 64, 0
244804, E, 64, 127
244812, F, 59, 64
244870, F, 71, 64
244919, C, 79, 56
244923, F, 61, 64
244936, F, 57, 64
244937, C, 72, 55
244953, F, 79, 64
244976, C, 74, 46
245002, E, 64, 0
245003, C, 52, 36
254005, C, 70, 65
254029, F, 68, 64
254105, E, 64, 0
254116, C, 77, 62
254123, C, 72, 33
254126, C, 58, 46
254127, C, 59, 38
254129, C, 73, 54
254154, E, 64, 127
254185, F, 49, 64
254189, E, 64, 0
254197, F, 53, 64
254201, F, 72, 64
254202, E, 64, 127
254212, C, 77, 59
254263, F, 70, 64
254264, F, 72, 64
254276, E, 64, 127
254289, E, 64, 0
254297, F, 75, 64
254317, E, 64, 127
254341, E, 64, 0
254378, E, 64, 127
254392, F, 59, 64
254423, F, 56, 64
254433, F, 59, 64
254434, F, 73, 64
254449, E, 64, 0
254449, E, 64, 0
254454, C, 72, 37
254475, F, 75, 64
254506, C, 73, 63
254512, F, 74, 64
254548, F, 57, 64
254560, C, 57, 45
254560, C, 48, 49
254561, C, 59, 29
254579, F, 75, 64
254623, F, 62, 64
254655, F, 59, 64
254679, C, 75, 49
254679, C, 65, 40
254708, F, 67, 64
254724, F, 55, 64
254755, F, 82, 64
254800, F, 74, 64
254801, F, 67, 64
254847, C, 71, 36
254857, F, 69, 64
254901, E, 64, 0
254962, F, 67, 64
255038, C, 63, 27
255065, C, 58, 39
255082, C, 74, 41
255109, C, 68, 62
255111, C, 64, 36
255148, F, 74, 64
255187, C, 65, 39
255190, C, 57, 40
255191, E, 64, 0
255199, C, 67, 61
255210, F, 71, 64
255220, C, 60, 52
255244, F, 69, 64
255267, F, 55, 64
255267, F, 69, 64
255269, C, 58, 39
255274, C, 52, 49
255284, E, 64, 127
255292, F, 80, 64
255326, F, 80, 64
255453, E, 64, 0
255456, E, 64, 127
255471, F, 46, 64
255488, C, 82, 68
255588, C, 75, 70
255607, E, 64, 0
255641, F, 71, 64
255667, E, 64, 127
255675, E, 64, 0
255690, C, 65, 39
255698, C, 68, 52
255702, F, 75, 64
255743, F, 70, 64
255784, E, 64, 127
255875, F, 44, 64
255893, F, 51, 64
255953, F, 63, 64
255968, C, 74, 61
255979, F, 82, 64
256042, C, 79, 58
256059, F, 82, 64
256071, E, 64, 0
256119, E, 64, 127
256128, C, 49, 43
256131, C, 44, 45
256175, F, 47, 64
256178, F, 67, 64
256258, C, 74, 62
256265, C, 70, 52
256272, E, 64, 0
256282, E, 84, 0
256293, F, 74, 64
256294, F, 82, 64
256367, C, 72, 63
256373, C, 62, 41
256380, C, 61, 48
256381, E, 64, 0
256397, E, 64, 127
256414, E, 64, 0
256425, F, 52, 64
256426, E, 64, 127
256526, C, 75, 49
256527, F, 73, 64
256528, F, 79, 64
256539, E, 64, 127
256562, F, 77, 64
256564, E, 64, 0
256590, C, 74, 41
256607, F, 81, 64
256645, F, 80, 64
256706, F, 57, 64
256718, C, 76, 29
256726, C, 71, 57
256724, C, 62, 49
256726, E, 64, 0
256760, E, 64, 127
256800, F, 60, 64
256809, F, 74, 64
256813, F, 65, 64
256820, C, 77, 65
256821, C, 74, 59
256842, E, 64, 127
256849, E, 64, 127
256854, F, 77, 64
256855, F, 57, 64
256880, F, 84, 64
256899, E, 64, 0
257002, F, 76, 64
257000, C, 55, 26
257001, C, 61, 32
257011, C, 59, 26
257013, C, 60, 41
257016, E, 64, 0
257022, F, 75, 64
257027, F, 72, 64
257026, F, 57, 64
257049, E, 64, 127
257085, F, 51, 64
257120, F, 56, 64
257121, F, 67, 64
257136, C, 73, 57
257181, C, 68, 63
257182, C, 65, 53
257189, F, 45, 64
257253, E, 64, 0
257306, F, 79, 64
257316, E, 64, 127
257445, F, 55, 64
257588, F, 53, 64
257644, F, 64, 64
257644, F, 76, 64
257645, C, 46, 48
257654, F, 53, 64
257674, E, 64, 0
257678, C, 68, 70
257723, C, 61, 54
257744, E, 64, 0
257753, F, 43, 64
257755, E, 64, 127
257780, F, 44, 64
257913, E, 64, 0
257937, E, 64, 127
257952, C, 72, 53
257954, C, 56, 41
257961, C, 74, 59
257968, E, 64, 127
257973, F, 59, 64
257978, F, 65, 64
257987, F, 79, 64
258015, F, 69, 64
258026, C, 75, 23
258027, C, 47, 18
258029, C, 62, 24
258041, F, 75, 64
258057, E, 64, 127
258073, F, 50, 64
258091, F, 74, 64
258142, C, 75, 54
258148, F, 76, 64
258243, E, 64, 0
258297, C, 76, 49
258299, C, 52, 32
258314, E, 64, 127
258353, F, 56, 64
258390, F, 58, 64
258416, F, 74, 64
258528, E, 64, 0
258573, C, 42, 57
258576, C, 69, 52
258582, C, 58, 36
258583, F, 67, 64
258591, E, 64, 127
258642, F, 66, 64
258645, F, 52, 64
258647, F, 51, 64
258682, F, 57, 64
258689, F, 40, 64
258883, F, 41, 64
258916, C, 72, 59
258931, E, 64, 127
258950, E, 64, 0
258959, C, 74, 49
258962, C, 65, 52
258970, C, 45, 32
258977, F, 77, 64
258981, C, 75, 62
259011, F, 73, 64
259034, F, 70, 64
259035, E, 64, 0
259045, E, 64, 127
259105, F, 71, 64
259188, E, 64, 0
259203, F, 40, 64
259220, E, 64, 127
259251, E, 64, 0
259258, C, 82, 63
259265, C, 72, 46
259269, C, 52, 36
259269, C, 67, 22
259271, C, 57, 46
259273, F, 63, 64
259276, F, 62, 64
259281, F, 68, 64
259293, F, 73, 64
259301, E, 64, 127
259340, E, 64, 0
259355, C, 86, 78
259363, F, 75, 64
259390, E, 64, 0
259397, C, 78, 59
259403, C, 80, 67
259406, C, 65, 74
259413, C, 52, 64
259433, F, 64, 64
259440, F, 63, 64
259453, F, 73, 64
259518, F, 53, 64
259523, F, 52, 64
259527, F, 69, 64
259571, E, 64, 0
259579, C, 66, 57
259583, C, 73, 45
259596, E, 64, 127
259664, E, 64, 0
259677, C, 74, 52
259679, C, 59, 36
259680, C, 73, 66
259684, E, 64, 0
259718, E, 64, 127
259731, F, 55, 64
259737, F, 62, 64
259774, F, 63, 64
259794, C, 65, 52
259802, C, 63, 36
259813, C, 57, 2
259813, C, 49, 46
259827, F, 71, 64
259827, F, 75, 64
259842, E, 64, 127
259846, F, 78, 64
259869, F, 44, 64
259909, F, 63, 64
259962, C, 72, 35
259960, C, 54, 36
259961, E, 64, 0
260006, C, 78, 52
260023, E, 64, 127
260046, F, 72, 64
260056, C, 49, 49
260071, F, 37, 64
260075, F, 55, 64
260131, E, 64, 0
260143, E, 64, 127
260168, E, 64, 127
260294, C, 71, 55
260384, F, 73, 64
260382, F, 60, 64
260401, E, 64, 0
260409, C, 65, 62
260412, C, 71, 50
260412, F, 74, 64
260433, C, 69, 40
260461, F, 70, 64
260472, E, 64, 127
260508, F, 52, 64
260509, C, 69, 55
260510, C, 76, 62
260513, C, 63, 58
260513, C, 65, 59
260513, C, 64, 57
260514, C, 52, 37
260516, C, 58, 31
260522, E, 64, 0
260529, F, 72, 64
260542, F, 79, 64
260552, E, 64, 127
260558, E, 64, 0
260580, F, 68, 64
260587, E, 64, 127
260623, F, 66, 64
260640, F, 55, 64
260720, C, 70, 50
260724, E, 64, 0
260734, F, 49, 64
260759, E, 64, 127
260894, C, 76, 55
260899, C, 61, 50
260904, E, 64, 0
260995, E, 64, 127
260995, F, 36, 64
260997, F, 65, 64
261007, C, 66, 61
261108, F, 70, 64
261113, C, 67, 54
261121, C, 61, 66
261135, F, 62, 64
261257, C, 74, 64
261277, F, 76, 64
261283, F, 78, 64
261313, C, 70, 55
261337, F, 72, 64
261342, C, 79, 45
261372, F, 78, 64
261382, C, 76, 54
261392, F, 74, 64
261406, F, 72, 64
261406, F, 72, 64
261413, C, 45, 48
261420, C, 66, 57
261426, C, 46, 50
261433, E, 64, 0
261467, F, 52, 64
261470, F, 49, 64
261507, E, 64, 0
261547, F, 70, 64
261586, E, 64, 127
261826, F, 54, 64
261826, C, 61, 36
261863, F, 72, 64
261934, E, 64, 127
261954, E, 64, 0
261974, E, 64, 127
262028, C, 79, 55
262029, C, 62, 46
262039, C, 84, 72
262059, E, 64, 127
262079, E, 64, 0
262087, C, 78, 91
262093, F, 66, 64
262101, C, 69, 56
262105, C, 55, 42
262133, F, 74, 64
262137, F, 57, 64
262136, C, 65, 42
262144, F, 72, 64
262175, F, 69, 64
262196, C, 82, 55
262198, C, 68, 58
262200, C, 56, 37
262203, E, 64, 0
