, C, 90, 70
111164558, C, 59, 69
11615921, C, 37, 64
11615928, E, 64, 0
11615926, E, 64, 0
11615959, C, 82, 58
11615962, C, 83, 72
11615957, F, 90, 64
11615971, C, 70, 56
11615992, C, 66, 39
11615998, E, 64, 127
11615990, E, 64, 127
11616018, F, 75, 64
11616053, F, 52, 64
11616057, F, 72, 64
11616320, C, 72, 48
11616239, C, 66, 46
11615092, F, 76, 64
11615112, C, 70, 63
11615115, F, 52, 64
11615119, F, 58, 64
11615146, F, 58, 64
11615237, C, 54, 56
11615244, F, 75, 64
11615342, C, 67, 76
11615427, F, 58, 64
11615427, F, 65, 64
11615485, C, 70, 83
11615485, F, 75, 64, 64
11151857, C, 51, 67
11156352, C, 31, 64
11165351, C, 63, 75
11165380, F, 37, 64
11165396, F, 66, 64
11165396, C, 48, 69
11165430, C, 64, 74
11165435, F, 62, 64
11164538, C, 35, 43
11164582, C, 35, 53
11164652, E, 64, 0
11164652, E, 64, 0
11164672, F, 71, 64
11164672, F, 38, 64
11164672, F, 68, 64
11164685, C, 65, 69
11164695, C, 62, 59
11164710, F, 37, 64
11164714, C, 74, 68
11164723, F, 68, 64
11164725, C, 66, 74
11164726, E, 64, 0
11164726, E, 64, 0
11164737, E, 64, 127
11164735, E, 64, 127
11164891, F, 44, 64
11164892, F, 54, 64
11164918, C, 53, 89
11164932, F, 37, 64
11164930, F, 32, 64
11164938, F, 30, 64
11165003, C, 51, 64
11164273, C, 44, 64
11164283, C, 73, 76
11164334, F, 56, 64
11164367, F, 61, 64
11164366, F, 68, 64
11164376, F, 72, 64
11164376, C, 37, 65
11164389, F, 77, 64
11164425, C, 72, 84
11164426, C, 37, 78
11164425, C, 66, 67
11164426, C, 73, 84
11164515, F, 80, 64
11164515, E, 64, 0
11164516, E, 64, 0
11164529, E, 64, 127
11164529, E, 64, 127
11164557, E, 64, 127
11165482, F, 58, 64
11165521, F, 54, 64
11165627, F, 68, 64
11165717, C, 30, 56
11165781, F, 69, 64
11165805, F, 45, 64
11165828, F, 54, 64
11165851, E, 64, 0
11165851, E, 64, 0
11165862, E, 64, 0
11165860, E, 64, 0
11165871, D, 0
11165868, E, 7, 127
11618038, E, 64, 127
11640288, C, 68, 58
11640386, F, 72, 64
11640461, C, 70, 73
11640461, C, 60, 56
1164059, F, 39, 64
1164097, E, 64, 0
1164097, E, 64, 0
1164187, C, 73, 63
1164187, C, 62, 52
1164188, C, 37, 56
1164191, C, 68, 71
1164201, F, 71, 64
1164203, F, 75, 64
1164215, F, 61, 64
1164222, F, 78, 64
1164232, F, 61, 64
1164233, F, 78, 64
1164263, F, 77, 64
1164329, C, 92, 71
1164332, E, 64, 127
1164332, C, 37, 89
1164335, C, 32, 83
1146424, F, 70, 64
1146435, E, 64, 127
1146435, E, 64, 127
1146460, C, 53, 46
1146463, C, 68, 73
1146466, C, 75, 76
1146473, F, 75, 64
1146477, E, 64, 0
1146478, E, 64, 0
1146481, C, 76, 60
1146483, E, 64, 0
1146483, E, 64, 0
1146485, E, 64, 0
1146485, E, 64, 0
1146509, E, 64, 127
1146509, E, 64, 127
1146518, E, 64, 127
1146522, F, 65, 64
1146535, F, 53, 64
1146539, F, 60, 64
1146623, C, 56, 27
1146626, C, 61, 46
1146630, C, 51, 31
1146633, C, 55, 31
1146644, F, 54, 64
1146658, F, 50, 64
1146658, F, 62, 64
1146746, F, 75, 64
1146875, C, 41, 22
1146885, C, 60, 41
1146889, C, 72, 75
1146902, F, 62, 64
1146902, F, 76, 64
1146907, E, 64, 0
1146908, E, 64, 0
1146910, C, 54, 35
1146910, C, 53, 47
1146917, C, 72, 42
1146918, C, 50, 16
1146923, C, 66, 52
1146931, F, 66, 64
1146930, E, 64, 0
1146931, E, 64, 0
1146945, E, 64, 127
1146946, E, 64, 127
1146977, F, 75, 64
1146995, F, 56, 64
1147001, C, 78, 76
1147004, C, 71, 77
1163015, F, 42, 64
1181620, F, 76, 64
1181624, E, 64, 0
1181624, E, 64, 0
1181649, E, 64, 127
1181649, E, 64, 127
1181740, F, 71, 64
1181756, F, 76, 64
1181759, F, 73, 64
1181787, C, 70, 71
1181787, C, 80, 78
1181792, C, 78, 99
1181823, F, 82, 64
1181850, F, 78, 64
1181887, C, 73, 75
1181888, C, 70, 93
1181912, F, 37, 64
1181939, C, 46, 28
1181942, C, 63, 39
1181946, C, 69, 56
1182058, F, 81, 64
1182133, C, 76, 30
1182153, F, 52, 64
1182153, E, 64, 0
1182153, E, 64, 0
1182162, F, 77, 64
1182171, E, 64, 127
1182216, E, 64, 127
1182257, F, 37, 64
1182334, E, 64, 0
1182341, E, 64, 0
1182366, E, 64, 127
1182366, E, 64, 127
1182387, C, 71, 42
1182388, F, 74, 64
1182508, F, 74, 64
1182350, F, 76, 64
1182397, C, 54, 48
1182399, C, 73, 42
1174392, C, 73, 54
1174406, F, 75, 64
1174426, C, 75, 56
1174219, F, 37, 64
1174240, E, 64, 0
1174240, E, 64, 0
1174245, F, 73, 64
1174252, C, 70, 39
1174253, F, 69, 64
1174257, F, 54, 64
1174260, F, 37, 64
1174261, F, 75, 64
1174278, F, 54, 64
1174279, F, 76, 64
1174289, C, 66, 64
1174293, C, 61, 49
1174298, C, 42, 58
1174300, C, 70, 73
1174302, E, 64, 0
1174308, F, 81, 64
1174308, C, 81, 58
1174316, F, 85, 64
1174316, F, 84, 64
1174326, F, 77, 64
1174341, E, 64, 0
1174341, E, 64, 0
1174445, E, 64, 0
1174457, E, 64, 127
1174463, E, 64, 127
1174476, C, 75, 63
1174500, C, 53, 53
1174515, C, 56, 50
1174517, C, 68, 38
1174518, C, 63, 34
1174518, C, 63, 38
1174518, C, 40, 21
1174518, C, 53, 27
1174520, F, 71, 64
1174538, F, 73, 64
1174584, F, 44, 64
1174612, E, 64, 0
1174613, E, 64, 0
1174677, E, 64, 127
1174678, E, 64, 127
1174828, F, 42, 64
1174868, C, 73, 50
1174869, C, 72, 54
1174874, F, 76, 64
1174875, F, 65, 64
1174923, F, 78, 64
1174923, C, 68, 69
1174925, C, 78, 73
1174934, F, 75, 64
1174943, E, 64, 0
1174943, E, 64, 0
1174963, F, 78, 64
1174969, E, 64, 127
1174968, E, 64, 127
1175038, F, 61, 64
1175039, F, 72, 64
1175090, C, 68, 38
1175103, C, 64, 48
1175104, C, 54, 46
1175137, F, 73, 64
1175139, E, 64, 0
1175146, E, 64, 0
1175155, F, 80, 64
1175158, E, 64, 127
1175178, F, 58, 64
1175179, F, 44, 64
1175220, F, 75, 64
1175223, F, 82, 64
1175233, C, 80, 52
1175240, C, 69, 60
1175246, C, 68, 68
1175259, E, 64, 0
1175259, E, 64, 0
1175262, E, 64, 0
1175262, E, 64, 0
1175289, E, 64, 127
1175289, E, 64, 127
1175325, F, 73, 64
1175325, C, 68, 57
1175335, C, 73, 54
1175395, C, 66, 58
1175396, E, 64, 0
1175396, E, 64, 0
1175403, F, 68, 64
1175412, E, 64, 0
1175413, E, 64, 0
1175423, E, 64, 0
1175423, E, 64, 0
1175426, C, 52, 56
1175431, F, 73, 64
1175470, E, 64, 0
1175470, E, 64, 0
1175486, F, 53, 64
1175490, E, 64, 127
1175490, E, 64, 127
1175524, C, 75, 57
1175537, F, 71, 64
1175570, F, 75, 64
1175576, F, 44, 64
