0, D, 0
0, E, 7, 127
41, C, 72, 71
366, C, 56, 32
368, C, 60, 33
387, C, 65, 26
558, C, 73, 72
595, F, 72, 64
622, F, 56, 64
623, F, 65, 64
624, F, 60, 64
683, F, 73, 64
697, C, 73, 73
705, C, 56, 37
708, C, 60, 44
710, C, 65, 35
751, E, 64, 0
783, E, 64, 127
811, C, 72, 75
826, F, 73, 64
934, F, 60, 64
935, C, 71, 67
936, F, 72, 64
944, F, 56, 64
954, F, 65, 64
970, C, 72, 71
978, F, 71, 64
1008, C, 71, 66
1024, F, 72, 64
1063, C, 70, 74
1066, F, 71, 64
1157, C, 71, 72
1165, F, 70, 64
1168, C, 55, 36
1168, C, 62, 41
1171, C, 65, 33
1213, E, 64, 0
1243, E, 64, 127
1284, F, 55, 64
1304, F, 62, 64
1305, F, 65, 64
1484, C, 61, 33
1489, C, 79, 75
1500, C, 55, 31
1502, F, 71, 64
1507, C, 65, 31
1546, E, 64, 0
1599, E, 64, 127
1786, F, 79, 64
1790, C, 70, 86
1819, F, 55, 64
1825, F, 65, 64
1826, F, 61, 64
2055, C, 61, 44
2058, C, 54, 36
2061, C, 64, 41
2109, E, 64, 0
2142, E, 64, 127
2182, F, 54, 64
2184, C, 72, 71
2189, F, 64, 64
2194, F, 61, 64
2199, F, 70, 64
2244, F, 72, 64
2312, C, 54, 50
2317, C, 72, 64
2325, C, 63, 35
2328, C, 60, 48
2361, E, 64, 0
2417, E, 64, 127
2424, C, 70, 85
2454, F, 72, 64
2555, F, 70, 64
2555, C, 69, 62
2590, C, 70, 82
2591, F, 60, 64
2597, F, 54, 64
2600, F, 69, 64
2600, F, 63, 64
2634, C, 69, 71
2636, F, 70, 64
2682, C, 68, 79
2685, F, 69, 64
2780, C, 53, 57
2784, C, 63, 42
2787, C, 69, 72
2794, C, 60, 48
2819, F, 68, 64
2824, E, 64, 0
2868, E, 64, 127
2908, F, 53, 64
2921, F, 60, 64
2922, F, 63, 64
3114, C, 77, 81
3118, C, 59, 36
3125, C, 63, 32
3127, C, 53, 33
3163, E, 64, 0
3171, F, 69, 64
3230, E, 64, 127
3454, F, 77, 64
3456, C, 68, 88
3487, F, 59, 64
3503, F, 63, 64
3514, F, 53, 64
3744, C, 62, 33
3748, C, 53, 44
3749, C, 59, 46
3779, E, 64, 0
3822, E, 64, 127
3861, C, 70, 86
3878, F, 53, 64
3881, F, 59, 64
3883, F, 62, 64
3890, F, 68, 64
3919, F, 70, 64
3991, C, 70, 77
3999, C, 59, 48
4002, C, 62, 56
4009, C, 52, 36
4044, E, 64, 0
4094, C, 68, 85
4110, E, 64, 127
4120, F, 70, 64
4222, F, 68, 64
4222, C, 67, 75
4259, C, 68, 79
4261, F, 52, 64
4269, F, 59, 64
4272, F, 67, 64
4272, F, 62, 64
4304, C, 67, 66
4309, F, 68, 64
4358, C, 66, 85
4361, F, 67, 64
4470, C, 67, 75
4488, C, 61, 27
4488, C, 52, 48
4490, F, 66, 64
4492, C, 58, 36
4521, E, 64, 0
4574, E, 64, 127
4585, F, 52, 64
4606, F, 58, 64
4610, F, 61, 64
4790, C, 58, 55
4793, C, 73, 83
4800, C, 53, 37
4803, C, 65, 36
4811, F, 67, 64
4836, E, 64, 0
4891, E, 64, 127
5040, F, 65, 64
5082, F, 58, 64
5091, F, 53, 64
5094, C, 72, 79
5136, F, 73, 64
5353, C, 64, 55
5364, C, 61, 31
5366, C, 58, 32
5366, C, 55, 32
5379, E, 64, 0
5422, E, 64, 127
5454, F, 58, 64
5454, F, 61, 64
5464, F, 55, 64
5478, C, 70, 83
5507, F, 72, 64
5544, F, 64, 64
5605, C, 68, 86
5614, C, 48, 32
5616, C, 58, 44
5621, C, 64, 46
5629, F, 70, 64
5644, E, 64, 0
5687, E, 64, 127
5720, C, 67, 85
5730, F, 68, 64
5763, F, 58, 64
5771, F, 64, 64
5773, F, 48, 64
5825, C, 70, 86
5840, F, 67, 64
5930, C, 68, 81
5961, F, 70, 64
6053, C, 65, 92
6056, F, 68, 64
6056, C, 41, 66
6069, E, 64, 0
6109, E, 64, 127
6158, C, 67, 81
6172, F, 65, 64
6272, C, 68, 82
6285, C, 56, 36
6288, C, 61, 47
6293, C, 53, 65
6308, F, 67, 64
6331, E, 64, 0
6371, E, 64, 127
6394, C, 71, 77
6411, F, 68, 64
6521, C, 72, 86
6529, F, 71, 64
6544, E, 64, 0
6558, E, 64, 127
6582, F, 56, 64
6588, F, 53, 64
6596, F, 41, 64
6597, F, 61, 64
6772, C, 53, 29
6780, C, 56, 35
6784, C, 60, 40
6832, E, 64, 0
6875, E, 64, 127
6927, C, 73, 73
6966, F, 72, 64
6970, F, 56, 64
6971, F, 60, 64
6974, F, 53, 64
7064, C, 56, 37
7067, C, 71, 72
7069, C, 60, 50
7081, F, 73, 64
7081, C, 65, 29
7110, E, 64, 0
7153, E, 64, 127
7172, C, 73, 77
7206, F, 71, 64
7277, C, 72, 81
7293, F, 73, 64
7300, F, 60, 64
7308, F, 56, 64
7337, F, 65, 64
7382, C, 70, 81
7396, F, 72, 64
7504, C, 71, 81
7519, C, 55, 33
7526, C, 65, 33
7526, C, 62, 41
7533, F, 70, 64
7537, E, 64, 0
7571, E, 64, 127
7625, C, 80, 71
7640, F, 55, 64
7641, F, 62, 64
7645, F, 65, 64
7663, F, 71, 64
7768, C, 55, 47
7772, C, 65, 32
7772, C, 79, 57
7778, C, 61, 46
7794, F, 80, 64
7828, E, 64, 0
7860, E, 64, 127
7890, C, 71, 81
7897, F, 79, 64
8010, C, 70, 79
8027, F, 71, 64
8040, E, 64, 0
8054, E, 64, 127
8070, F, 55, 64
8073, F, 65, 64
8093, F, 61, 64
8269, C, 61, 33
8272, C, 55, 46
8275, C, 64, 36
8304, E, 64, 0
8327, E, 64, 127
8376, F, 55, 64
8397, C, 72, 69
8412, F, 64, 64
8412, F, 61, 64
8420, F, 70, 64
8465, F, 72, 64
8515, C, 72, 71
8516, C, 64, 41
8522, C, 61, 47
8524, C, 54, 35
8564, E, 64, 0
8607, E, 64, 127
8617, C, 70, 81
8645, F, 72, 64
8694, F, 70, 64
8744, C, 70, 91
8751, F, 64, 64
8769, F, 54, 64
8773, F, 61, 64
8849, C, 68, 81
8864, F, 70, 64
8963, C, 69, 81
8966, C, 53, 47
8973, C, 63, 36
8973, C, 60, 50
8980, F, 68, 64
8988, E, 64, 0
9042, E, 64, 127
9093, C, 78, 75
9100, F, 60, 64
9104, F, 53, 64
9110, F, 63, 64
9117, F, 69, 64
9252, C, 77, 79
9252, C, 59, 48
9260, C, 53, 26
9264, C, 63, 29
9280, F, 78, 64
9306, E, 64, 0
9357, E, 64, 127
9375, C, 69, 81
9380, F, 77, 64
9496, C, 68, 83
9515, F, 69, 64
9529, E, 64, 0
9533, F, 53, 64
9540, E, 64, 127
9549, F, 59, 64
9559, F, 63, 64
9772, C, 63, 32
9780, C, 53, 36
9781, C, 59, 41
9869, F, 53, 64
9877, F, 59, 64
9885, C, 71, 75
9893, F, 63, 64
9896, F, 68, 64
10010, C, 70, 85
10020, C, 59, 41
10023, C, 62, 36
10023, C, 52, 33
10035, F, 71, 64
10055, E, 64, 0
10096, E, 64, 127
10114, C, 68, 86
10137, F, 70, 64
10240, C, 67, 90
10257, E, 64, 0
10268, F, 68, 64
10273, E, 64, 127
10293, F, 59, 64
10296, F, 52, 64
10311, F, 62, 64
10475, C, 68, 86
10485, F, 67, 64
10492, C, 58, 55
10492, C, 62, 35
10500, C, 52, 44
10514, E, 64, 0
10538, E, 64, 127
10590, C, 69, 83
10598, F, 52, 64
10606, F, 58, 64
10608, F, 62, 64
10617, F, 68, 64
10710, C, 70, 97
10716, C, 56, 66
10720, C, 52, 47
10720, C, 62, 55
10747, F, 69, 64
10747, E, 64, 0
10762, E, 64, 127
10831, C, 71, 81
10849, F, 70, 64
10931, F, 62, 64
10940, C, 73, 85
10946, F, 56, 64
10946, C, 45, 57
10968, F, 52, 64
10970, E, 64, 0
10971, F, 71, 64
11004, E, 64, 127
11050, C, 74, 77
11058, F, 73, 64
11148, C, 75, 86
11150, C, 61, 32
11165, C, 52, 36
11166, E, 64, 0
11179, F, 74, 64
11192, E, 64, 127
11253, C, 76, 81
11277, F, 75, 64
11341, F, 45, 64
11345, F, 52, 64
11359, C, 81, 81
11369, F, 61, 64
11400, F, 76, 64
11450, C, 80, 82
11474, F, 81, 64
11559, C, 78, 72
11565, C, 45, 55
11578, F, 80, 64
11580, E, 64, 0
11611, E, 64, 127
11676, C, 76, 52
11701, F, 78, 64
11771, C, 74, 74
11774, C, 54, 27
11783, C, 62, 35
11787, F, 76, 64
11859, F, 62, 64
11863, C, 68, 76
11866, F, 54, 64
11866, F, 74, 64
11880, F, 45, 64
11967, C, 52, 35
11971, C, 62, 33
11976, C, 69, 77
11995, F, 68, 64
12033, F, 62, 64
12049, F, 52, 64
12067, C, 71, 77
12086, F, 69, 64
12170, C, 73, 76
12177, C, 45, 64
12192, F, 71, 64
12195, E, 64, 0
12213, E, 64, 127
12269, C, 74, 76
12294, F, 73, 64
12360, C, 75, 74
12369, C, 61, 41
12374, F, 74, 64
12379, C, 52, 41
12429, F, 61, 64
12442, F, 52, 64
12469, C, 76, 66
12502, F, 75, 64
12567, F, 45, 64
12569, C, 61, 37
12576, C, 81, 85
12590, C, 52, 33
12616, F, 76, 64
12664, C, 80, 79
12684, F, 81, 64
12701, F, 52, 64
12711, F, 61, 64
12768, C, 78, 83
12782, E, 64, 0
12791, F, 80, 64
12791, C, 45, 36
12822, E, 64, 127
12871, C, 76, 75
12888, F, 78, 64
12978, C, 74, 72
12978, C, 54, 46
12986, C, 62, 27
12999, F, 76, 64
13076, C, 68, 74
13087, F, 74, 64
13109, F, 62, 64
13119, F, 54, 64
13137, F, 45, 64
13189, C, 52, 47
13194, C, 69, 85
13194, C, 62, 46
13208, F, 68, 64
13223, E, 64, 0
13246, E, 64, 127
13295, F, 52, 64
13306, C, 71, 92
13312, F, 62, 64
13326, F, 69, 64
13460, C, 73, 81
13472, C, 45, 48
13492, F, 71, 64
13532, E, 64, 0
13607, E, 64, 127
13741, C, 71, 66
13755, F, 73, 64
13875, C, 72, 77
13903, F, 71, 64
13919, F, 45, 64
14004, C, 53, 37
14006, C, 63, 27
14008, C, 77, 71
14010, C, 60, 29
14019, E, 64, 0
14030, F, 72, 64
14052, E, 64, 127
14082, F, 63, 64
14087, F, 60, 64
14105, F, 53, 64
14144, C, 76, 64
14177, F, 77, 64
14262, C, 46, 52
14269, C, 75, 66
14292, E, 64, 0
14294, F, 76, 64
14324, E, 64, 127
14383, C, 74, 65
14405, F, 75, 64
14477, F, 46, 64
14483, C, 61, 29
14484, C, 73, 81
14494, C, 53, 33
14500, F, 74, 64
14552, F, 61, 64
14560, F, 53, 64
14596, C, 64, 66
14608, F, 73, 64
14693, C, 65, 73
14701, C, 48, 37
14701, C, 52, 26
14701, C, 58, 33
14723, F, 64, 64
14762, F, 52, 64
14771, F, 58, 64
14776, F, 48, 64
14799, C, 67, 66
14812, F, 65, 64
14912, C, 68, 79
14919, C, 41, 44
14938, F, 67, 64
14943, E, 64, 0
14990, E, 64, 127
15011, C, 70, 82
15036, F, 68, 64
15115, C, 71, 82
15116, C, 48, 46
15119, C, 56, 31
15131, F, 70, 64
15162, E, 64, 0
15197, E, 64, 127
15214, C, 72, 84
15248, F, 71, 64
15326, C, 77, 93
15339, F, 48, 64
15348, E, 64, 0
15364, F, 72, 64
15384, E, 64, 127
15392, F, 41, 64
15396, F, 56, 64
15439, C, 76, 81
15465, F, 77, 64
15555, C, 75, 67
15577, F, 76, 64
15671, C, 74, 65
15681, F, 75, 64
15790, C, 73, 62
15799, C, 49, 47
15800, C, 56, 41
15818, F, 74, 64
15820, E, 64, 0
15842, E, 64, 127
15900, F, 49, 64
15920, F, 56, 64
15944, C, 64, 48
15980, F, 73, 64
16088, C, 58, 27
16091, C, 65, 71
16105, C, 48, 35
16133, F, 64, 64
16140, E, 64, 0
16193, E, 64, 127
16260, C, 68, 52
16268, F, 58, 64
16274, F, 48, 64
16303, C, 67, 57
16311, F, 65, 64
16319, F, 68, 64
16488, C, 65, 52
16493, C, 41, 56
16507, F, 67, 64
16519, E, 64, 0
16562, E, 64, 127
16607, C, 67, 46
16609, F, 65, 64
16653, F, 67, 64
16666, C, 65, 35
16696, F, 65, 64
16697, C, 67, 71
16729, F, 67, 64
16735, C, 65, 56
16766, F, 65, 64
16766, C, 67, 55
16789, C, 65, 57
16801, F, 67, 64
16833, C, 64, 54
16841, F, 65, 64
16925, C, 65, 47
16926, C, 56, 36
16931, F, 64, 64
16933, C, 48, 35
16965, E, 64, 0
17023, E, 64, 127
17113, F, 48, 64
17119, F, 56, 64
17319, C, 56, 32
17321, C, 47, 32
17374, E, 64, 0
17417, E, 64, 127
17484, F, 56, 64
17491, F, 47, 64
17543, F, 41, 64
17672, C, 39, 56
17736, C, 70, 90
17753, F, 65, 64
17760, E, 64, 0
17802, E, 64, 127
18013, C, 61, 36
18027, C, 55, 41
18034, C, 51, 24
18144, F, 61, 64
18158, F, 55, 64
18165, F, 51, 64
18225, C, 61, 48
18231, C, 51, 33
18235, C, 72, 75
18247, C, 55, 27
18249, F, 70, 64
18290, F, 39, 64
18337, C, 67, 72
18355, F, 72, 64
18356, F, 61, 64
18362, F, 51, 64
18378, F, 55, 64
18445, C, 68, 81
18450, C, 44, 72
18473, E, 64, 0
18479, F, 67, 64
18506, E, 64, 127
18559, C, 60, 73
18576, F, 68, 64
18656, C, 63, 66
18664, C, 56, 54
18666, F, 60, 64
18666, C, 51, 56
18672, C, 60, 54
18746, C, 68, 77
18777, F, 63, 64
18795, F, 56, 64
18797, F, 51, 64
18803, F, 60, 64
18852, C, 50, 2
18853, C, 71, 86
18859, C, 60, 54
18863, C, 53, 56
18879, F, 68, 64
18948, C, 72, 95
18965, F, 71, 64
18983, F, 50, 64
18990, F, 60, 64
18994, F, 53, 64
19015, F, 44, 64
19093, C, 74, 93
19098, C, 43, 81
19116, F, 72, 64
19127, E, 64, 0
19159, E, 64, 127
19350, C, 55, 56
19358, C, 75, 84
19358, C, 65, 50
19390, F, 74, 64
19481, F, 55, 64
19489, F, 65, 64
19492, C, 79, 83
19508, F, 75, 64
19612, C, 77, 83
19618, C, 65, 44
19618, C, 55, 48
19620, C, 62, 55
19626, F, 79, 64
19632, E, 64, 0
19645, F, 43, 64
19654, E, 64, 127
19707, C, 71, 71
19727, F, 77, 64
19749, F, 55, 64
19749, F, 65, 64
19751, F, 62, 64
19811, C, 48, 66
19812, C, 72, 94
19844, E, 64, 0
19847, F, 71, 64
19865, E, 64, 127
20040, C, 60, 71
20041, C, 63, 65
20044, C, 55, 44
20171, F, 60, 64
20172, F, 63, 64
20175, F, 55, 64
20291, C, 63, 48
20296, C, 67, 88
20296, C, 55, 44
20300, C, 60, 54
20313, F, 72, 64
20363, F, 48, 64
20422, F, 63, 64
20427, F, 55, 64
20431, F, 60, 64
20496, C, 67, 88
20575, C, 43, 74
20594, C, 74, 95
20600, F, 67, 64
20620, E, 64, 0
20653, E, 64, 127
20684, F, 67, 64
20855, C, 55, 50
20863, C, 59, 64
20870, C, 65, 48
20986, F, 55, 64
20994, F, 59, 64
21001, F, 65, 64
21066, C, 75, 74
21068, C, 55, 66
21072, C, 62, 56
21078, C, 65, 44
21094, F, 74, 64
21141, F, 43, 64
21167, C, 71, 94
21179, F, 75, 64
21199, F, 55, 64
21203, F, 62, 64
21209, F, 65, 64
21296, C, 72, 77
21297, C, 48, 83
21323, F, 71, 64
21389, F, 72, 64
21392, C, 74, 81
21431, C, 72, 83
21435, F, 74, 64
21468, F, 72, 64
21468, C, 74, 83
21496, C, 72, 92
21505, F, 74, 64
21523, C, 71, 94
21533, F, 72, 64
21539, C, 63, 66
21539, C, 55, 57
21546, C, 60, 64
21556, E, 64, 0
21590, E, 64, 127
21618, C, 72, 85
21636, F, 71, 64
21670, F, 55, 64
21670, F, 63, 64
21677, F, 60, 64
21717, C, 74, 81
21720, C, 63, 64
21720, C, 55, 66
21727, C, 60, 48
21740, F, 72, 64
21804, C, 75, 95
21830, F, 48, 64
21838, F, 74, 64
21851, F, 55, 64
21851, F, 63, 64
21858, F, 60, 64
21922, C, 44, 86
21926, C, 77, 97
21939, E, 64, 0
21948, F, 75, 64
21976, E, 64, 127
22143, C, 56, 73
22143, C, 76, 90
22151, C, 65, 66
22153, C, 60, 67
22173, F, 77, 64
22213, F, 44, 64
22241, C, 77, 90
22263, F, 76, 64
22368, C, 72, 88
22369, F, 56, 64
22375, C, 38, 93
22377, F, 65, 64
22378, C, 79, 90
22379, F, 60, 64
22406, F, 77, 64
22407, E, 64, 0
22443, E, 64, 127
22493, C, 80, 93
22525, F, 79, 64
22624, F, 38, 64
22642, C, 79, 82
22643, F, 72, 64
22647, C, 43, 85
22675, F, 80, 64
22680, E, 64, 0
22732, E, 64, 127
22763, C, 71, 93
22907, C, 76, 77
23058, C, 75, 71
23074, F, 71, 64
23100, F, 76, 64
23184, C, 74, 72
23202, F, 75, 64
23252, F, 43, 64
23307, C, 73, 66
23324, F, 74, 64
23435, C, 72, 65
23445, E, 64, 0
23449, F, 73, 64
23490, E, 64, 127
23678, F, 72, 64
23782, C, 62, 42
23788, C, 69, 41
23792, C, 77, 86
23795, C, 72, 64
23802, F, 79, 64
23852, E, 64, 0
23864, E, 64, 127
23919, C, 78, 85
23934, F, 62, 64
23942, F, 72, 64
23948, F, 69, 64
23956, F, 77, 64
24038, C, 72, 75
24040, C, 66, 62
24047, C, 83, 83
24047, C, 62, 57
24060, F, 78, 64
24064, E, 64, 0
24097, E, 64, 127
24145, C, 81, 82
24178, F, 83, 64
24288, C, 74, 74
24311, F, 66, 64
24313, F, 62, 64
24333, F, 81, 64
24414, F, 72, 64
24519, C, 55, 24
24533, C, 77, 73
24533, C, 71, 57
24533, C, 62, 44
24555, E, 64, 0
24560, F, 74, 64
24591, E, 64, 127
24648, C, 64, 52
24652, C, 72, 67
24681, F, 62, 64
24723, F, 55, 64
24767, C, 76, 64
24772, C, 55, 31
24773, C, 67, 50
24777, F, 72, 64
24793, F, 64, 64
24835, E, 64, 0
24846, F, 71, 64
24871, C, 65, 59
24871, E, 64, 127
